Date,Open,High,Low,Close,Adj Close,Volume
2019-04-23,6349.899902,6412.399902,6349.899902,6411.100098,6411.100098,708244500
2019-04-24,6411.100098,6477.899902,6411.100098,6470.600098,6470.600098,849731600
2019-04-26,6470.600098,6476.000000,6450.700195,6473.200195,6473.200195,725378100
2019-04-29,6473.200195,6473.299805,6439.100098,6449.600098,6449.600098,660664800
2019-04-30,6449.600098,6449.600098,6408.299805,6418.399902,6418.399902,835955500
2019-05-01,6418.399902,6469.799805,6418.399902,6466.500000,6466.500000,754629200
2019-05-02,6466.500000,6466.500000,6416.899902,6430.000000,6430.000000,895264300
2019-05-03,6430.000000,6445.799805,6419.700195,6427.200195,6427.200195,716683500
2019-05-06,6427.200195,6427.200195,6335.899902,6369.899902,6369.899902,793032500
2019-05-07,6369.899902,6427.299805,6369.899902,6383.500000,6383.500000,874476000
2019-05-08,6383.500000,6383.500000,6327.399902,6351.799805,6351.799805,768194100
2019-05-09,6351.799805,6382.200195,6343.299805,6377.299805,6377.299805,712542700
2019-05-10,6377.299805,6400.000000,6366.700195,6393.100098,6393.100098,712165300
2019-05-13,6393.100098,6393.100098,6363.399902,6381.299805,6381.299805,669618500
2019-05-14,6381.299805,6381.299805,6289.600098,6327.200195,6327.200195,873321900
2019-05-15,6327.200195,6378.799805,6327.200195,6370.899902,6370.899902,679781500
2019-05-16,6370.899902,6417.500000,6364.500000,6417.500000,6417.500000,843630600
2019-05-17,6417.500000,6489.100098,6417.500000,6460.200195,6460.200195,786905000
2019-05-20,6460.200195,6564.700195,6460.200195,6564.700195,6564.700195,0
