Date,price_USD
7/03/1969,43.6
10/03/1969,43.75
11/03/1969,43.3
12/03/1969,43.02
13/03/1969,43.15
14/03/1969,43.0
17/03/1969,43.02
18/03/1969,42.85
19/03/1969,43.08
20/03/1969,43.12
21/03/1969,43.17
24/03/1969,43.25
25/03/1969,43.4
26/03/1969,43.35
27/03/1969,43.48
28/03/1969,43.3
31/03/1969,43.1
1/04/1969,43.1
2/04/1969,43.3
3/04/1969,43.35
8/04/1969,43.35
9/04/1969,43.38
10/04/1969,43.4
11/04/1969,43.35
14/04/1969,43.27
15/04/1969,42.9
16/04/1969,43.08
17/04/1969,43.23
18/04/1969,43.2
21/04/1969,43.2
22/04/1969,43.17
23/04/1969,43.4
24/04/1969,43.27
25/04/1969,43.25
28/04/1969,43.55
29/04/1969,43.55
30/04/1969,43.6
1/05/1969,43.6
2/05/1969,43.6
5/05/1969,43.48
6/05/1969,43.4
7/05/1969,43.48
8/05/1969,43.65
9/05/1969,43.6
12/05/1969,43.45
13/05/1969,43.5
14/05/1969,43.5
15/05/1969,43.5
16/05/1969,43.5
19/05/1969,43.48
20/05/1969,43.45
21/05/1969,43.42
22/05/1969,43.45
23/05/1969,43.5
27/05/1969,43.5
28/05/1969,43.4
29/05/1969,43.08
30/05/1969,43.15
2/06/1969,42.95
3/06/1969,42.15
4/06/1969,42.08
5/06/1969,41.1
6/06/1969,40.75
9/06/1969,40.7
10/06/1969,41.98
11/06/1969,41.8
12/06/1969,41.55
13/06/1969,41.55
16/06/1969,41.25
17/06/1969,41.5
18/06/1969,41.4
19/06/1969,41.45
20/06/1969,41.45
23/06/1969,41.23
24/06/1969,41.2
25/06/1969,40.9
26/06/1969,40.98
27/06/1969,41.1
30/06/1969,41.23
1/07/1969,41.1
2/07/1969,41.25
3/07/1969,41.51
4/07/1969,41.5
7/07/1969,41.76
8/07/1969,42.1
9/07/1969,41.9
10/07/1969,41.9
11/07/1969,41.9
14/07/1969,41.95
15/07/1969,42.0
16/07/1969,41.9
17/07/1969,41.98
18/07/1969,41.9
21/07/1969,42.0
22/07/1969,41.95
23/07/1969,41.88
24/07/1969,41.9
25/07/1969,41.85
28/07/1969,41.72
29/07/1969,41.49
30/07/1969,41.49
31/07/1969,41.45
1/08/1969,41.39
4/08/1969,41.4
5/08/1969,41.15
6/08/1969,41.1
7/08/1969,41.02
8/08/1969,41.15
11/08/1969,41.45
12/08/1969,41.2
13/08/1969,41.1
14/08/1969,41.38
15/08/1969,41.1
18/08/1969,41.2
19/08/1969,41.12
20/08/1969,41.1
21/08/1969,41.08
22/08/1969,41.05
25/08/1969,41.0
26/08/1969,40.9
27/08/1969,40.9
28/08/1969,40.95
29/08/1969,40.95
2/09/1969,40.79
3/09/1969,40.77
4/09/1969,40.89
5/09/1969,40.9
8/09/1969,40.9
9/09/1969,40.9
10/09/1969,40.98
11/09/1969,40.92
12/09/1969,40.95
15/09/1969,41.0
